protocol_id,pmcid,title_sim,keywords_sim,materials_cov,materials_cov_strict,materials_cov_soft,protocol_sim,param_cov,param_cov_strict,param_cov_soft,sec_tokens,hier_tokens
Bio-protocol-2096,PMC5854709,0.0,0.5,0.4231,0.0256,0.4231,0.3282,0.6154,0.4615,0.6154,5199,589
Bio-protocol-972,PMC7488867,0.0,0.5,0.2436,0.0128,0.2436,0.3882,0.2222,0.0,0.2222,2798,578
Bio-protocol-3144,PMC4623687,0.0,,0.2549,0.0392,0.2549,0.2975,0.3077,0.3077,0.2308,5289,379
Bio-protocol-2602,PMC5142619,0.0,0.4286,0.2706,0.0,0.2706,0.4491,0.4,0.2,0.4,3624,565
Bio-protocol-1250,PMC6372003,0.0,0.0,0.202,0.0,0.202,0.4229,0.5517,0.1724,0.5517,5342,692
Bio-protocol-1111,PMC7189520,0.0,0.4,0.11,0.0,0.11,0.3902,0.2727,0.0,0.2727,5054,960
Bio-protocol-3607,PMC4163167,0.0,,0.2586,0.0,0.2586,0.426,0.25,0.25,0.25,2676,869
Bio-protocol-2617,PMC3298259,0.0,0.0,0.0222,0.0,0.0222,0.3693,0.4545,0.1364,0.4545,2019,775
Bio-protocol-3356,PMC4191939,0.0,,0.0263,0.0,0.0263,0.3896,0.2174,0.0435,0.2174,8649,885
Bio-protocol-3026,PMC4864890,0.0,0.5,0.05,0.0,0.05,0.3299,0.0,0.0,0.0,7673,811
Bio-protocol-832,PMC8185449,0.0,0.2609,0.026,0.0,0.026,0.4326,0.0588,0.0,0.0588,9338,834
Bio-protocol-1437,PMC6918744,0.0,0.4,0.5667,0.0167,0.5667,0.4013,0.5385,0.3846,0.5385,21409,470
Bio-protocol-3584,PMC4283594,0.0,,0.22,0.01,0.22,0.4444,0.6667,0.1733,0.6667,4301,1269
Bio-protocol-3965,PMC4241023,0.0,,0.28,0.02,0.28,0.4875,0.6471,0.3059,0.6471,6434,1160
Bio-protocol-2974,PMC4859500,0.0,0.1111,0.12,0.0,0.12,0.3698,0.6346,0.1154,0.6346,7240,1094
Bio-protocol-3921,PMC3738494,0.0,,0.439,0.0244,0.439,0.3347,0.375,0.0,0.375,14927,395
Bio-protocol-1836,PMC6240711,0.0,0.3333,0.03,0.0,0.03,0.3581,0.1667,0.0,0.1667,5302,1150
Bio-protocol-2350,PMC5513536,0.0,0.1176,0.57,0.05,0.57,0.4521,0.6047,0.4186,0.6047,7786,873
Bio-protocol-1611,PMC6653780,0.0,0.2,0.22,0.0,0.22,0.473,0.4857,0.4,0.4857,5337,806
Bio-protocol-1373,PMC7083845,0.0,0.25,0.04,0.0,0.04,0.3444,0.2576,0.0909,0.2576,11978,1266
Bio-protocol-3617,PMC4164820,0.0,,0.0612,0.0,0.0612,0.289,0.125,0.125,0.125,1044,546
Bio-protocol-851,PMC7561495,0.0,0.5714,0.0625,0.0,0.0625,0.3899,0.2143,0.0714,0.2143,6984,903
Bio-protocol-3758,PMC4030585,0.0,,0.0732,0.0,0.0732,0.3428,0.2,0.0,0.2,1653,539
Bio-protocol-1537,PMC6814767,0.0,0.4,0.0952,0.0,0.0952,0.4004,0.2857,0.0,0.2857,13425,533
Bio-protocol-2517,PMC5451546,0.0,0.1053,0.21,0.02,0.21,0.4249,0.4444,0.2222,0.4444,4108,842
