protocol_id,pmcid,title_sim,keywords_sim,material_cov,action_cov,param_cov,sec_tokens,hier_tokens,llm_used
Bio-protocol-2742,PMC5006433,0,0.1,0.35,0,0,4926,521,TRUE
Bio-protocol-3356,PMC4191939,0,0,0,0,0,8649,885,TRUE
Bio-protocol-1250,PMC6372003,0,0,0,0,0.68,5342,692,TRUE
Bio-protocol-1111,PMC7189520,0,0.4,0,0,0.53,5054,960,TRUE
Bio-protocol-1010,PMC7360933,0,0.05,0.15,0,0.24,3895,543,TRUE
Bio-protocol-2001,PMC5778493,0,0.5,0.32,0,0.5,8262,776,TRUE
Bio-protocol-3504,PMC4199768,0,0,0,0,0.0909,4444,490,TRUE
Bio-protocol-1537,PMC6814767,0,0.4,0,0,0.286,13425,533,TRUE
Bio-protocol-3032,PMC4917442,0,0.2,0,0,0,10715,831,TRUE
Bio-protocol-3026,PMC4864890,0,0.5,0,0,0,7673,811,TRUE
Bio-protocol-972,PMC7488867,0,0.5,0.68,0,0,2798,578,TRUE
Bio-protocol-611,PMC9342984,0,0.2,0,0,0,5415,311,TRUE
Bio-protocol-3607,PMC4163167,0,0,0.68,0,0,2676,869,TRUE
Bio-protocol-3584,PMC4283594,0,0,0.23,0,0,4301,1269,TRUE
Bio-protocol-1213,PMC7736827,0,0,0.32,0,0.48,1545,550,TRUE
Bio-protocol-3816,PMC3941799,0,0,0,0,0.286,7173,383,TRUE
Bio-protocol-3144,PMC4623687,0,0,0.79,0,0.0769,5289,379,TRUE
Bio-protocol-851,PMC7561495,0,0.5714,0,0,0,6984,903,TRUE
Bio-protocol-3758,PMC4030585,0,0,0.21,0,0,1653,539,TRUE
Bio-protocol-2548,PMC5281608,0,0.1379,0.79,0,0.57,4674,700,TRUE
Bio-protocol-2219,PMC5675896,0,0.2632,0.07,0,0.68,5207,1225,TRUE
Bio-protocol-2617,PMC3298259,0,0,0.47,0,0.5,2019,775,TRUE
Bio-protocol-2096,PMC5854709,0,0.5,0.42,0,0.5,5199,589,TRUE
Bio-protocol-3965,PMC4241023,0,0,0.52,0,0.38,6434,1160,TRUE
Bio-protocol-2443,PMC5404680,0,0.4,0.14,0,0,10069,872,TRUE
Bio-protocol-832,PMC8185449,0,0.2609,0,0,0,9338,834,TRUE
Bio-protocol-2974,PMC4859500,0,0.1111,0.07,0,0.1346,7240,1094,TRUE
Bio-protocol-1861,PMC5874515,0,0.2,0.42,0,0.52,3633,884,TRUE
Bio-protocol-2519,PMC5737561,0,0.4286,0.21,0,0.25,1823,896,TRUE
Bio-protocol-3617,PMC4164820,0,0,0.42,0,0,1044,546,TRUE
Bio-protocol-2302,PMC3847706,0,0.4,0.53,0,0.55,2927,345,TRUE
Bio-protocol-2332,PMC5602116,0,0,0.69,0,0.65,7369,707,TRUE
Bio-protocol-1836,PMC6240711,0,0.3333,0,0,0,5302,1150,TRUE
Bio-protocol-1174,PMC6900251,0,0,0.46,0,1,1745,948,TRUE
Bio-protocol-2517,PMC5451546,0,0.1053,0.24,0,0.1,4108,842,TRUE
Bio-protocol-1611,PMC6653780,0,0.2,0.76,0,0.52,5337,806,TRUE
Bio-protocol-3921,PMC3738494,0,0,0.45,0,0.375,14927,395,TRUE
Bio-protocol-1716,PMC6518337,0,0.5,0.12,0,0.3,3857,524,TRUE
Bio-protocol-1542,PMC6945041,0,0.1154,0,0,0.0952,5992,988,TRUE
Bio-protocol-1437,PMC6918744,0,0.4,0.68,0,0.67,21409,470,TRUE
Bio-protocol-2350,PMC5513536,0,0.1176,0.55,0,0.48,7786,873,TRUE
Bio-protocol-2600,PMC5425686,0,0.125,0,0,0,6578,614,TRUE
Bio-protocol-1373,PMC7083845,0,0.25,0,0,0,11978,1266,TRUE
Bio-protocol-881,PMC7334854,0,0.0385,0,0,0,5885,954,TRUE
Bio-protocol-2602,PMC5142619,0,0.4286,0.48,0,0.58,3624,565,TRUE
Bio-protocol-1784,PMC6563427,0,0.4,0,0,0.12,2508,1879,TRUE
,,0,0.198626087,0.265652174,0,0.264013043,6048.5,776.6086957,
