protocol_id,pmcid,domain,doi_match,title_sim,keyword_sim,action_overlap,material_overlap,param_coverage,section_list,sections_total_chars,sections_total_tokens,suspect_mismatch,notes
Bio-protocol-1027,,Cell Biology & Culture,0,0,0,0,0,0,,0,0,1,no_article_sections
Bio-protocol-1088,,Genomics Technologies,0,0,0,0,0,0,,0,0,1,no_article_sections
Bio-protocol-1118,,Plant Science & Technology,0,0,0,0,0,0,,0,0,1,no_article_sections
Bio-protocol-1133,,Cell Biology & Culture,0,0,0,0,0,0,,0,0,1,no_article_sections
Bio-protocol-1151,,Cell Biology & Culture,0,0,0,0,0,0,,0,0,1,no_article_sections
Bio-protocol-1172,,Pharmacology & Drug Development,0,0,0,0,0,0,,0,0,1,no_article_sections
Bio-protocol-1175,,Biochemical & Molecular Functional Analysis,0,0,0,0,0,0,,0,0,1,no_article_sections
Bio-protocol-1212,,Structural Biology Techniques,0,0,0,0,0,0,,0,0,1,no_article_sections
Bio-protocol-1267,,Plant Science & Technology,0,0,0,0,0,0,,0,0,1,no_article_sections
Bio-protocol-1278,PMC4235344,Microbiology & Virology,0,0.032,0.013,0.0,0.5,0.118,Experimental procedures,9032,1315,0,filtered_out
Bio-protocol-1297,,Molecular Biology Techniques,0,0,0,0,0,0,,0,0,1,no_article_sections
Bio-protocol-1303,PMC3898310,Plant Science & Technology,0,0.043,0.0,0.0,0.167,0.18,Materials and methods,8780,1257,0,filtered_out
Bio-protocol-1385,,Neuroscience Methods,0,0,0,0,0,0,,0,0,1,no_article_sections
Bio-protocol-1386,,Bioimaging Technologies,0,0,0,0,0,0,,0,0,1,no_article_sections
Bio-protocol-1436,PMC4133157,Immunological Techniques,0,0.032,0.001,0.0,0.417,0.119,Materials and Methods,14006,1761,0,filtered_out
Bio-protocol-1500,,Biochemical & Molecular Functional Analysis,0,0,0,0,0,0,,0,0,1,no_article_sections
Bio-protocol-1525,,Microbiology & Virology,0,0,0,0,0,0,,0,0,1,no_article_sections
Bio-protocol-1568,PMC4117943,Genomics Technologies,0,0.0,0.003,0.067,0.111,0.014,Materials and methods,3821,546,1,filtered_out
Bio-protocol-1696,,Model Organism-Specific Techniques,0,0,0,0,0,0,,0,0,1,no_article_sections
Bio-protocol-1742,,Model Organism-Specific Techniques,0,0,0,0,0,0,,0,0,1,no_article_sections
Bio-protocol-1744,PMC2790841,Neuroscience Methods,0,0.069,0.03,0.0,0.2,0.086,Materials and methods|Methods,6429,901,0,filtered_out
Bio-protocol-1747,PMC4456614,Microbiology & Virology,0,0.0,0.005,0.077,0.2,0.328,Materials and Methods,8329,1273,0,
Bio-protocol-1853,,Genomics Technologies,0,0,0,0,0,0,,0,0,1,no_article_sections
Bio-protocol-1870,,Structural Biology Techniques,0,0,0,0,0,0,,0,0,1,no_article_sections
Bio-protocol-1899,,Immunological Techniques,0,0,0,0,0,0,,0,0,1,no_article_sections
Bio-protocol-1928,,Plant Science & Technology,0,0,0,0,0,0,,0,0,1,no_article_sections
Bio-protocol-1935,PMC4623088,Microbiology & Virology,0,0.043,0.029,0.0,0.333,0.041,Materials and methods,5134,714,0,filtered_out
Bio-protocol-1974,,Model Organism-Specific Techniques,0,0,0,0,0,0,,0,0,1,no_article_sections
Bio-protocol-1995,,Molecular Biology Techniques,0,0,0,0,0,0,,0,0,1,no_article_sections
Bio-protocol-2006,,Molecular Biology Techniques,0,0,0,0,0,0,,0,0,1,no_article_sections
Bio-protocol-2105,PMC4864890,Bioimaging Technologies,0,0.0,0.002,0.143,0.25,0.25,Materials and Methods,20151,2847,0,
Bio-protocol-2262,,Microbiology & Virology,0,0,0,0,0,0,,0,0,1,no_article_sections
Bio-protocol-2406,PMC4997328,Bioimaging Technologies,0,0.0,0.044,0.182,0.25,0.053,Methods,10842,1589,0,
Bio-protocol-2503,PMC5087831,Neuroscience Methods,0,0.048,0.051,0.6,0.143,0.472,MATERIALS AND METHODS,14340,2143,0,
Bio-protocol-2827,,Biochemical & Molecular Functional Analysis,0,0,0,0,0,0,,0,0,1,no_article_sections
Bio-protocol-2913,PMC5607217,Neuroscience Methods,0,0.04,0.041,0.2,0.333,0.75,Materials and methods,9293,1389,0,
Bio-protocol-2986,,Bioimaging Technologies,0,0,0,0,0,0,,0,0,1,no_article_sections
Bio-protocol-3043,,Cell Biology & Culture,0,0,0,0,0,0,,0,0,1,no_article_sections
Bio-protocol-3080,PMC4539932,Structural Biology Techniques,0,0.0,0.001,0.0,0.0,0.0,Methods,11768,1778,1,filtered_out
Bio-protocol-3141,,Genomics Technologies,0,0,0,0,0,0,,0,0,1,no_article_sections
Bio-protocol-3152,PMC5206632,Immunological Techniques,0,0.053,0.0,0.154,0.429,0.14,Methods,8681,1310,0,
Bio-protocol-3343,,Neuroscience Methods,0,0,0,0,0,0,,0,0,1,no_article_sections
Bio-protocol-3350,PMC6335594,Biochemical & Molecular Functional Analysis,0,0.0,0.0,0.1,0.071,0.286,Experimental Procedures,8060,1227,0,
Bio-protocol-3434,PMC6535813,Bioimaging Technologies,0,0.0,0.0,0.0,0.0,0.0,Materials and Methods,12911,1843,1,filtered_out
Bio-protocol-3507,PMC6360649,Cell Biology & Culture,0,0.0,0.0,0.1,0.0,0.0,Methods,11031,1415,1,filtered_out
Bio-protocol-3637,PMC6060231,Plant Science & Technology,0,0.0,0.0,0.083,0.429,0.068,Methods,9161,1419,0,filtered_out
Bio-protocol-3754,PMC5506065,Pharmacology & Drug Development,0,0.043,0.0,0.0,0.333,0.0,Methods,14351,2096,0,filtered_out
Bio-protocol-3849,,Immunological Techniques,0,0,0,0,0,0,,0,0,1,no_article_sections
Bio-protocol-3885,,Biochemical & Molecular Functional Analysis,0,0,0,0,0,0,,0,0,1,no_article_sections
Bio-protocol-4024,PMC7322875,Structural Biology Techniques,0,0.042,0.0,0.0,0.143,0.123,Methods,6723,956,1,filtered_out
Bio-protocol-4129,PMC7393111,Model Organism-Specific Techniques,0,0.0,0.0,0.0,0.286,0.0,Methods,14029,2205,0,filtered_out
Bio-protocol-4183,PMC7816122,Pharmacology & Drug Development,0,0.0,0.0,0.143,0.273,0.0,Experimental model and subject details|STAR★Methods,20399,2942,0,filtered_out
Bio-protocol-4244,PMC7903996,Pharmacology & Drug Development,0,0.0,0.0,0.0,0.125,0.118,MATERIALS AND METHODS,4081,596,1,filtered_out
Bio-protocol-4257,PMC7990224,Molecular Biology Techniques,0,0.059,0.0,0.0,0.083,0.25,Materials and methods,11429,1652,0,
Bio-protocol-4270,PMC7641209,Pharmacology & Drug Development,0,0.05,0.0,0.0,0.222,0.0,Methods,13528,2032,0,filtered_out
Bio-protocol-4307,PMC6968433,Molecular Biology Techniques,0,0.045,0.0,0.053,0.333,0.31,Materials and methods,10023,1467,0,
Bio-protocol-824,,Immunological Techniques,0,0,0,0,0,0,,0,0,1,no_article_sections
Bio-protocol-837,,Genomics Technologies,0,0,0,0,0,0,,0,0,1,no_article_sections
Bio-protocol-933,,Model Organism-Specific Techniques,0,0,0,0,0,0,,0,0,1,no_article_sections
Bio-protocol-951,,Structural Biology Techniques,0,0,0,0,0,0,,0,0,1,no_article_sections
