protocol_id,bioprotocol_doi,bioprotocol_page,original_article_url,pdf_path,status,notes
Bio-protocol-5130,https://doi.org/10.21769/BioProtoc.5130,https://bio-protocol.org/en/bpdetail?id=5130&type=0,https://doi.org/10.1002/app.54928,,ok,no_direct_pdf
Bio-protocol-5129,https://doi.org/10.21769/BioProtoc.5129,https://bio-protocol.org/en/bpdetail?id=5129&type=0,https://doi.org/10.1016/j.jbc.2023.104964,,ok,no_direct_pdf
Bio-protocol-5128,https://doi.org/10.21769/BioProtoc.5128,https://bio-protocol.org/en/bpdetail?id=5128&type=0,https://doi.org/10.21769/BioProtoc.5128,,ok,no_direct_pdf
Bio-protocol-5127,https://doi.org/10.21769/BioProtoc.5127,https://bio-protocol.org/en/bpdetail?id=5127&type=0,https://www.doi.org/10.1093/plphys/kiad458,,ok,no_direct_pdf
Bio-protocol-5126,https://doi.org/10.21769/BioProtoc.5126,https://bio-protocol.org/en/bpdetail?id=5126&type=0,https://doi.org/10.1073/pnas.0805361105,,ok,no_direct_pdf
Bio-protocol-5125,https://doi.org/10.21769/BioProtoc.5125,https://bio-protocol.org/en/bpdetail?id=5125&type=0,https://doi.org/10.21769/BioProtoc.5125,,ok,no_direct_pdf
Bio-protocol-5124,https://doi.org/10.21769/BioProtoc.5124,https://bio-protocol.org/en/bpdetail?id=5124&type=0,https://doi.org/10.1101/2024.09.13.612837,,ok,no_direct_pdf
Bio-protocol-5123,https://doi.org/10.21769/BioProtoc.5123,https://bio-protocol.org/en/bpdetail?id=5123&type=0,https://www.doi.org/10.1021/acs.jproteome.2c00526,,ok,no_direct_pdf
Bio-protocol-5122,https://doi.org/10.21769/BioProtoc.5122,https://bio-protocol.org/en/bpdetail?id=5122&type=0,https://doi.org/10.3390/v16010106,,ok,no_direct_pdf
Bio-protocol-5121,https://doi.org/10.21769/BioProtoc.5121,https://bio-protocol.org/en/bpdetail?id=5121&type=0,https://doi.org/10.1016/j.algal.2024.103419,,ok,no_direct_pdf
Bio-protocol-5120,https://doi.org/10.21769/BioProtoc.5120,https://bio-protocol.org/en/bpdetail?id=5120&type=0,https://doi.org/10.1016/j.nbt.2024.02.003,,ok,no_direct_pdf
Bio-protocol-5119,https://doi.org/10.21769/BioProtoc.5119,https://bio-protocol.org/en/bpdetail?id=5119&type=0,https://doi.org/10.7554/eLife.83710,,ok,no_direct_pdf
Bio-protocol-5118,https://doi.org/10.21769/BioProtoc.5118,https://bio-protocol.org/en/bpdetail?id=5118&type=0,https://doi.org/10.1016/j.isci.2023.107955,,ok,no_direct_pdf
Bio-protocol-5117,https://doi.org/10.21769/BioProtoc.5117,https://bio-protocol.org/en/bpdetail?id=5117&type=0,https://doi.org/10.1002/jbm.a.37581,,ok,no_direct_pdf
Bio-protocol-5116,https://doi.org/10.21769/BioProtoc.5116,https://bio-protocol.org/en/bpdetail?id=5116&type=0,https://doi.org/10.1038/s41598-024-66042-9,,ok,no_direct_pdf
Bio-protocol-5115,https://doi.org/10.21769/BioProtoc.5115,https://bio-protocol.org/en/bpdetail?id=5115&type=0,https://doi.org/10.21769/BioProtoc.5115,,ok,no_direct_pdf
Bio-protocol-5114,https://doi.org/10.21769/BioProtoc.5114,https://bio-protocol.org/en/bpdetail?id=5114&type=0,https://doi.org/10.1016/j.mcpro.2024.100730,,ok,no_direct_pdf
Bio-protocol-5113,https://doi.org/10.21769/BioProtoc.5113,https://bio-protocol.org/en/bpdetail?id=5113&type=0,https://www.doi.org/10.1073/pnas.2313148120,,ok,no_direct_pdf
Bio-protocol-5112,https://doi.org/10.21769/BioProtoc.5112,https://bio-protocol.org/en/bpdetail?id=5112&type=0,https://doi.org/10.1038/s41598-020-64790-y,,ok,no_direct_pdf
Bio-protocol-5111,https://doi.org/10.21769/BioProtoc.5111,https://bio-protocol.org/en/bpdetail?id=5111&type=0,https://www.doi.org/10.1093/plphys/kiad189,,ok,no_direct_pdf
Bio-protocol-5110,https://doi.org/10.21769/BioProtoc.5110,https://bio-protocol.org/en/bpdetail?id=5110&type=0,https://doi.org/10.7554/eLife.57282,,ok,no_direct_pdf
Bio-protocol-5109,https://doi.org/10.21769/BioProtoc.5109,https://bio-protocol.org/en/bpdetail?id=5109&type=0,https://www.doi.org/10.1083/jcb.202304020,,ok,no_direct_pdf
Bio-protocol-5108,https://doi.org/10.21769/BioProtoc.5108,https://bio-protocol.org/en/bpdetail?id=5108&type=0,https://doi.org/10.1016/j.xcrm.2020.100097,,ok,no_direct_pdf
Bio-protocol-5107,https://doi.org/10.21769/BioProtoc.5107,https://bio-protocol.org/en/bpdetail?id=5107&type=0,https://doi.org/10.3390/ijms242316632,,ok,no_direct_pdf
Bio-protocol-5106,https://doi.org/10.21769/BioProtoc.5106,https://bio-protocol.org/en/bpdetail?id=5106&type=0,https://doi.org/10.1126/sciadv.abe0834,,ok,no_direct_pdf
Bio-protocol-5105,https://doi.org/10.21769/BioProtoc.5105,https://bio-protocol.org/en/bpdetail?id=5105&type=0,https://doi.org/10.3389/fphar.2024.1363545,,ok,no_direct_pdf
