protocol_id,keyword_p,keyword_r,keyword_f1,step_p,step_r,step_f1,token_p,token_r,token_f1,param_p,param_r,param_f1,order,matched_steps,pred_steps,gold_steps,pred_params,gold_params
Bio-protocol-1278,0.0,0.0,0.0,1.0,0.6296,0.7727,0.0421,0.4592,0.0771,0.0722,0.3043,0.1167,0.6544,17,17,27,97,23
Bio-protocol-1303,0.0,0.0,0.0,1.0,0.2414,0.3889,0.1968,0.2561,0.2226,0.1667,0.2667,0.2051,0.5714,7,7,29,24,15
Bio-protocol-1436,0.0,0.0,0.0,1.0,0.5405,0.7018,0.054,0.4409,0.0963,0.0976,0.4286,0.1589,0.5789,20,20,37,123,28
Bio-protocol-1747,0.0,0.0,0.0,1.0,0.2821,0.44,0.179,0.3355,0.2334,0.1053,0.16,0.127,0.7273,11,11,39,38,25
Bio-protocol-1935,0.0,0.0,0.0,1.0,0.0886,0.1628,0.1942,0.1846,0.1893,0.1923,0.4,0.2597,0.4762,7,7,79,52,25
Bio-protocol-2105,0.0,0.0,0.0,1.0,0.5333,0.6957,0.0563,0.4363,0.0997,0.02,0.1429,0.0351,0.7857,8,8,15,50,7
Bio-protocol-2406,0.0,0.0,0.0,1.0,0.2692,0.4242,0.0938,0.2668,0.1388,0.0444,0.25,0.0755,0.7143,7,7,26,45,8
Bio-protocol-2503,0.0,0.0,0.0,1.0,0.6786,0.8085,0.0407,0.4172,0.0742,0.0319,0.3333,0.0583,0.6374,19,19,28,94,9
Bio-protocol-2913,0.0,0.0,0.0,1.0,0.3333,0.5,0.0715,0.2806,0.114,0.0492,0.2143,0.08,0.5778,10,10,30,61,14
Bio-protocol-3152,0.0,0.0,0.0,1.0,0.3673,0.5373,0.085,0.4111,0.1409,0.1667,0.4545,0.2439,0.5294,18,18,49,120,44
Bio-protocol-3350,0.0,0.0,0.0,1.0,0.4091,0.5806,0.1074,0.3093,0.1594,0.0213,0.0476,0.0294,0.7778,9,9,22,47,21
Bio-protocol-3637,0.0,0.0,0.0,1.0,0.1944,0.3256,0.1688,0.2558,0.2034,0.25,0.2143,0.2308,0.619,7,7,36,24,28
Bio-protocol-4183,0.0,0.0,0.0,1.0,0.625,0.7692,0.0538,0.4678,0.0965,0.0597,0.3077,0.1,0.6444,10,10,16,67,13
Bio-protocol-4257,0.0,0.0,0.0,0.5588,1.0,0.717,0.0351,0.759,0.0671,0.0552,0.6667,0.1019,0.7661,19,34,19,145,12
Bio-protocol-4307,0.0,0.0,0.0,1.0,0.35,0.5185,0.19,0.3848,0.2544,0.1591,0.1522,0.1556,0.6044,14,14,40,44,46
