metric,mean,std,min,max,n
keyword_p,0.0,0.0,0.0,0.0,15
keyword_r,0.0,0.0,0.0,0.0,15
keyword_f1,0.0,0.0,0.0,0.0,15
step_p,0.9706,0.11,0.5588,1.0,15
step_r,0.4362,0.2254,0.0886,1.0,15
step_f1,0.5562,0.1816,0.1628,0.8085,15
token_p,0.1046,0.0608,0.0351,0.1968,15
token_r,0.3777,0.133,0.1846,0.759,15
token_f1,0.1445,0.0605,0.0671,0.2544,15
param_p,0.0994,0.0687,0.02,0.25,15
param_r,0.2895,0.1489,0.0476,0.6667,15
param_f1,0.1319,0.0724,0.0294,0.2597,15
order,0.6443,0.0903,0.4762,0.7857,15
matched_steps,12.2,4.9017,7.0,20.0,15
pred_steps,13.2,7.1852,7.0,34.0,15
gold_steps,32.8,15.3762,15.0,79.0,15
pred_params,68.7333,36.6196,24.0,145.0,15
gold_params,21.2,11.623,7.0,46.0,15
