metric,mean,std,min,max,n
keyword_p,0.0,0.0,0.0,0.0,15
keyword_r,0.0,0.0,0.0,0.0,15
keyword_f1,0.0,0.0,0.0,0.0,15
step_p,0.9706,0.11,0.5588,1.0,15
step_r,0.4362,0.2254,0.0886,1.0,15
step_f1,0.5562,0.1816,0.1628,0.8085,15
token_p,0.5697,0.0862,0.3554,0.6795,15
token_r,0.2656,0.1483,0.0694,0.704,15
token_f1,0.3299,0.0991,0.1254,0.4723,15
param_p,0.1455,0.157,0.0,0.5,15
param_r,0.0544,0.0528,0.0,0.1522,15
param_f1,0.0732,0.0726,0.0,0.2222,15
order,0.6391,0.1134,0.4286,0.8571,15
matched_steps,12.2,4.9017,7.0,20.0,15
pred_steps,13.2,7.1852,7.0,34.0,15
gold_steps,32.8,15.3762,15.0,79.0,15
pred_params,9.8667,6.4069,2.0,26.0,15
gold_params,21.2,11.623,7.0,46.0,15
