protocol_id,status
Bio-protocol-1744,skip_not_in_filter
Bio-protocol-1303,picked
Bio-protocol-1568,skip_not_in_filter
Bio-protocol-1436,picked
Bio-protocol-1278,picked
Bio-protocol-1747,picked
Bio-protocol-3080,skip_not_in_filter
Bio-protocol-1935,picked
Bio-protocol-2105,picked
Bio-protocol-2406,picked
Bio-protocol-2503,picked
Bio-protocol-3152,picked
Bio-protocol-3754,skip_not_in_filter
Bio-protocol-2913,picked
Bio-protocol-3637,picked
Bio-protocol-3350,picked
Bio-protocol-3507,skip_not_in_filter
Bio-protocol-3434,skip_not_in_filter
Bio-protocol-4307,picked
Bio-protocol-4024,skip_not_in_filter
Bio-protocol-4129,skip_not_in_filter
Bio-protocol-4270,skip_not_in_filter
Bio-protocol-4183,picked
Bio-protocol-4244,skip_not_in_filter
Bio-protocol-4257,picked
