protocol_id,n_tasks,title_dup_rate,materials_rate,goal_rate,mean_task_overlap
Bio-protocol-2096,8,0.0000,1.0000,1.0000,0.0390
Bio-protocol-972,8,0.0000,0.7500,1.0000,0.0505
Bio-protocol-3144,8,0.0000,0.8750,1.0000,0.0380
Bio-protocol-2602,8,0.0000,1.0000,1.0000,0.0610
Bio-protocol-1250,8,0.0000,1.0000,0.5000,0.0410
Bio-protocol-1111,8,0.0000,1.0000,1.0000,0.0561
Bio-protocol-3607,8,0.0000,1.0000,1.0000,0.0936
Bio-protocol-2617,8,0.0000,0.8750,1.0000,0.0562
Bio-protocol-3356,8,0.0000,1.0000,1.0000,0.0249
Bio-protocol-3026,8,0.0000,1.0000,1.0000,0.0233
Bio-protocol-832,8,0.0000,0.8750,1.0000,0.0321
Bio-protocol-1437,8,0.0000,1.0000,1.0000,0.0194
Bio-protocol-3584,8,0.0000,1.0000,1.0000,0.0450
Bio-protocol-3965,8,0.0000,1.0000,1.0000,0.0241
Bio-protocol-2974,8,0.0000,1.0000,1.0000,0.0268
Bio-protocol-3921,8,0.0000,0.8750,1.0000,0.0256
Bio-protocol-1836,8,0.0000,1.0000,1.0000,0.0383
Bio-protocol-2350,8,0.0000,1.0000,1.0000,0.0261
Bio-protocol-1611,8,0.0000,1.0000,1.0000,0.0633
Bio-protocol-1373,8,0.0000,1.0000,1.0000,0.0179
Bio-protocol-3617,6,0.0000,1.0000,1.0000,0.1019
Bio-protocol-851,8,0.0000,1.0000,1.0000,0.0363
Bio-protocol-3758,8,0.0000,0.8750,1.0000,0.0498
Bio-protocol-1537,8,0.0000,0.3750,1.0000,0.0222
Bio-protocol-2517,8,0.0000,1.0000,1.0000,0.0479
Bio-protocol-881,8,0.0000,1.0000,1.0000,0.0339
Bio-protocol-3816,8,0.0000,0.8750,0.8750,0.0269
Bio-protocol-3504,8,0.0000,1.0000,0.8750,0.0415
Bio-protocol-3032,8,0.0000,1.0000,1.0000,0.0268
Bio-protocol-1542,8,0.0000,0.8750,1.0000,0.0343
Bio-protocol-2443,8,0.0000,1.0000,1.0000,0.0298
Bio-protocol-2742,8,0.0000,1.0000,1.0000,0.0427
Bio-protocol-2001,8,0.0000,1.0000,1.0000,0.0306
Bio-protocol-2548,8,0.0000,1.0000,1.0000,0.0577
Bio-protocol-2519,8,0.0000,1.0000,1.0000,0.0582
Bio-protocol-2302,8,0.0000,1.0000,1.0000,0.0629
Bio-protocol-1784,8,0.0000,1.0000,1.0000,0.0639
Bio-protocol-1213,6,0.0000,1.0000,1.0000,0.1492
Bio-protocol-2600,8,0.0000,1.0000,1.0000,0.0372
Bio-protocol-2219,8,0.0000,1.0000,1.0000,0.0332
Bio-protocol-2332,8,0.0000,1.0000,1.0000,0.0393
Bio-protocol-1716,8,0.0000,1.0000,1.0000,0.0533
Bio-protocol-1010,8,0.0000,1.0000,1.0000,0.0461
Bio-protocol-1174,8,0.0000,1.0000,1.0000,0.0464
Bio-protocol-611,8,0.0000,1.0000,1.0000,0.0367
Bio-protocol-1861,8,0.0000,1.0000,1.0000,0.0356
