protocol_id,n_tasks,title_dup_rate,materials_rate,goal_rate,mean_task_overlap
Bio-protocol-2096,8,0.0000,1.0000,1.0000,0.0496
Bio-protocol-972,8,0.0000,0.8750,1.0000,0.0697
Bio-protocol-3144,8,0.0000,1.0000,1.0000,0.0380
Bio-protocol-2602,8,0.0000,1.0000,0.8750,0.0724
Bio-protocol-1250,8,0.0000,1.0000,0.1250,0.0442
Bio-protocol-1111,8,0.0000,1.0000,1.0000,0.0542
Bio-protocol-3607,8,0.0000,1.0000,1.0000,0.0960
Bio-protocol-2617,8,0.0000,0.8750,0.7500,0.0804
Bio-protocol-3356,8,0.0000,1.0000,0.3750,0.0244
Bio-protocol-3026,8,0.0000,1.0000,0.6250,0.0276
Bio-protocol-832,8,0.0000,0.7500,1.0000,0.0325
Bio-protocol-1437,8,0.0000,0.8750,0.1250,0.0152
Bio-protocol-3584,8,0.0000,1.0000,1.0000,0.0571
Bio-protocol-3965,8,0.0000,1.0000,1.0000,0.0476
Bio-protocol-2974,8,0.0000,1.0000,1.0000,0.0314
Bio-protocol-3921,8,0.0000,1.0000,1.0000,0.0332
Bio-protocol-1836,8,0.0000,1.0000,1.0000,0.0451
Bio-protocol-2350,8,0.0000,1.0000,0.1250,0.0342
Bio-protocol-1611,8,0.0000,1.0000,0.7500,0.0841
Bio-protocol-1373,8,0.0000,1.0000,0.2500,0.0202
Bio-protocol-3617,6,0.0000,0.8333,0.1667,0.1446
Bio-protocol-851,8,0.0000,1.0000,1.0000,0.0440
Bio-protocol-3758,6,0.0000,1.0000,1.0000,0.1083
Bio-protocol-1537,8,0.0000,0.3750,1.0000,0.0227
Bio-protocol-2517,8,0.0000,1.0000,0.5000,0.0408
Bio-protocol-881,8,0.0000,1.0000,0.6250,0.0314
Bio-protocol-3816,8,0.0000,1.0000,1.0000,0.0491
Bio-protocol-3504,8,0.0000,1.0000,0.3750,0.0446
Bio-protocol-3032,8,0.0000,1.0000,1.0000,0.0379
Bio-protocol-1542,8,0.0000,0.8750,1.0000,0.0352
Bio-protocol-2443,8,0.0000,1.0000,1.0000,0.0348
Bio-protocol-2742,8,0.0000,1.0000,1.0000,0.0464
Bio-protocol-2001,8,0.0000,1.0000,1.0000,0.0328
Bio-protocol-2548,8,0.0000,1.0000,1.0000,0.0631
Bio-protocol-2519,6,0.0000,0.6667,0.3333,0.0947
Bio-protocol-2302,8,0.0000,1.0000,1.0000,0.0891
Bio-protocol-1784,8,0.0000,1.0000,0.5000,0.0875
Bio-protocol-1213,6,0.0000,1.0000,0.0000,0.1447
Bio-protocol-2600,8,0.0000,1.0000,1.0000,0.0339
Bio-protocol-2219,8,0.0000,1.0000,0.8750,0.0375
Bio-protocol-2332,8,0.0000,1.0000,1.0000,0.0457
Bio-protocol-1716,8,0.0000,1.0000,1.0000,0.0694
Bio-protocol-1010,8,0.0000,1.0000,0.6250,0.0495
Bio-protocol-1174,8,0.0000,1.0000,0.1250,0.0577
Bio-protocol-611,8,0.0000,1.0000,0.3750,0.0437
Bio-protocol-1861,8,0.0000,1.0000,0.6250,0.0433
