protocol_id,n_tasks_M,goal_rate_M,overlap_methods_M,results_align_M,n_tasks_MR,goal_rate_MR,overlap_methods_MR,results_align_MR
Bio-protocol-2096,8,1.0000,0.0390,0.0000,8,1.0000,0.0496,0.0000
Bio-protocol-972,8,1.0000,0.0505,0.0000,8,1.0000,0.0697,0.0000
Bio-protocol-3144,8,1.0000,0.0380,0.0000,8,1.0000,0.0380,0.0000
Bio-protocol-2602,8,1.0000,0.0610,0.0000,8,0.8750,0.0724,0.0000
Bio-protocol-1250,8,0.5000,0.0410,0.0000,8,0.1250,0.0442,0.0000
Bio-protocol-1111,8,1.0000,0.0561,0.0561,8,1.0000,0.0542,0.0542
Bio-protocol-3607,8,1.0000,0.0936,0.0000,8,1.0000,0.0960,0.0000
Bio-protocol-2617,8,1.0000,0.0562,0.0000,8,0.7500,0.0804,0.0000
Bio-protocol-3356,8,1.0000,0.0249,0.0249,8,0.3750,0.0244,0.0244
Bio-protocol-3026,8,1.0000,0.0233,0.0233,8,0.6250,0.0276,0.0276
Bio-protocol-832,8,1.0000,0.0321,0.0321,8,1.0000,0.0325,0.0325
Bio-protocol-1437,8,1.0000,0.0194,0.0000,8,0.1250,0.0152,0.0000
Bio-protocol-3584,8,1.0000,0.0450,0.0000,8,1.0000,0.0571,0.0000
Bio-protocol-3965,8,1.0000,0.0241,0.0000,8,1.0000,0.0476,0.0000
Bio-protocol-2974,8,1.0000,0.0268,0.0000,8,1.0000,0.0314,0.0000
Bio-protocol-3921,8,1.0000,0.0256,0.0000,8,1.0000,0.0332,0.0000
Bio-protocol-1836,8,1.0000,0.0383,0.0383,8,1.0000,0.0451,0.0451
Bio-protocol-2350,8,1.0000,0.0261,0.0000,8,0.1250,0.0342,0.0000
Bio-protocol-1611,8,1.0000,0.0633,0.0000,8,0.7500,0.0841,0.0000
Bio-protocol-1373,8,1.0000,0.0179,0.0179,8,0.2500,0.0202,0.0202
Bio-protocol-3617,6,1.0000,0.1019,0.0000,6,0.1667,0.1446,0.0000
Bio-protocol-851,8,1.0000,0.0363,0.0363,8,1.0000,0.0440,0.0440
Bio-protocol-3758,8,1.0000,0.0498,0.0000,6,1.0000,0.1083,0.0000
Bio-protocol-1537,8,1.0000,0.0222,0.0222,8,1.0000,0.0227,0.0227
Bio-protocol-2517,8,1.0000,0.0479,0.0000,8,0.5000,0.0408,0.0000
Bio-protocol-881,8,1.0000,0.0339,0.0339,8,0.6250,0.0314,0.0314
Bio-protocol-3816,8,0.8750,0.0269,0.0000,8,1.0000,0.0491,0.0000
Bio-protocol-3504,8,0.8750,0.0415,0.0000,8,0.3750,0.0446,0.0000
Bio-protocol-3032,8,1.0000,0.0268,0.0268,8,1.0000,0.0379,0.0379
Bio-protocol-1542,8,1.0000,0.0343,0.0000,8,1.0000,0.0352,0.0000
Bio-protocol-2443,8,1.0000,0.0298,0.0298,8,1.0000,0.0348,0.0348
Bio-protocol-2742,8,1.0000,0.0427,0.0000,8,1.0000,0.0464,0.0000
Bio-protocol-2001,8,1.0000,0.0306,0.0000,8,1.0000,0.0328,0.0000
Bio-protocol-2548,8,1.0000,0.0577,0.0000,8,1.0000,0.0631,0.0000
Bio-protocol-2519,8,1.0000,0.0582,0.0000,6,0.3333,0.0947,0.0000
Bio-protocol-2302,8,1.0000,0.0629,0.0000,8,1.0000,0.0891,0.0000
Bio-protocol-1784,8,1.0000,0.0639,0.0000,8,0.5000,0.0875,0.0000
Bio-protocol-1213,6,1.0000,0.1492,0.0000,6,0.0000,0.1447,0.0000
Bio-protocol-2600,8,1.0000,0.0372,0.0372,8,1.0000,0.0339,0.0339
Bio-protocol-2219,8,1.0000,0.0332,0.0000,8,0.8750,0.0375,0.0000
Bio-protocol-2332,8,1.0000,0.0393,0.0000,8,1.0000,0.0457,0.0000
Bio-protocol-1716,8,1.0000,0.0533,0.0000,8,1.0000,0.0694,0.0000
Bio-protocol-1010,8,1.0000,0.0461,0.0000,8,0.6250,0.0495,0.0000
Bio-protocol-1174,8,1.0000,0.0464,0.0000,8,0.1250,0.0577,0.0000
Bio-protocol-611,8,1.0000,0.0367,0.0367,8,0.3750,0.0437,0.0437
Bio-protocol-1861,8,1.0000,0.0356,0.0000,8,0.6250,0.0433,0.0000
