protocol_id,domain,pmcid,action_overlap,material_overlap,param_coverage,title_sim,keyword_sim,sections_total_chars,section_list,suspect_mismatch,notes
Bio-protocol-2913,Neuroscience Methods,PMC5607217,0.2,0.333,0.75,0.04,0.041,9293,Materials and methods,0,
Bio-protocol-2503,Neuroscience Methods,PMC5087831,0.6,0.143,0.472,0.048,0.051,14340,MATERIALS AND METHODS,0,
Bio-protocol-4307,Molecular Biology Techniques,PMC6968433,0.053,0.333,0.31,0.045,0.0,10023,Materials and methods,0,
Bio-protocol-1747,Microbiology & Virology,PMC4456614,0.077,0.2,0.328,0.0,0.005,8329,Materials and Methods,0,
Bio-protocol-2105,Bioimaging Technologies,PMC4864890,0.143,0.25,0.25,0.0,0.002,20151,Materials and Methods,0,
Bio-protocol-3152,Immunological Techniques,PMC5206632,0.154,0.429,0.14,0.053,0.0,8681,Methods,0,
Bio-protocol-3350,Biochemical & Molecular Functional Analysis,PMC6335594,0.1,0.071,0.286,0.0,0.0,8060,Experimental Procedures,0,
Bio-protocol-1278,Microbiology & Virology,PMC4235344,0.0,0.5,0.118,0.032,0.013,9032,Experimental procedures,0,
Bio-protocol-3637,Plant Science & Technology,PMC6060231,0.083,0.429,0.068,0.0,0.0,9161,Methods,0,
Bio-protocol-1436,Immunological Techniques,PMC4133157,0.0,0.417,0.119,0.032,0.001,14006,Materials and Methods,0,
Bio-protocol-4257,Molecular Biology Techniques,PMC7990224,0.0,0.083,0.25,0.059,0.0,11429,Materials and methods,0,
Bio-protocol-2406,Bioimaging Technologies,PMC4997328,0.182,0.25,0.053,0.0,0.044,10842,Methods,0,
Bio-protocol-1303,Plant Science & Technology,PMC3898310,0.0,0.167,0.18,0.043,0.0,8780,Materials and methods,0,
Bio-protocol-4183,Pharmacology & Drug Development,PMC7816122,0.143,0.273,0.0,0.0,0.0,20399,Experimental model and subject details|STAR★Methods,0,
Bio-protocol-1935,Microbiology & Virology,PMC4623088,0.0,0.333,0.041,0.043,0.029,5134,Materials and methods,0,
