protocol_id,pmcid,status,domain,xml_path,has_xml,has_body,has_methods,why_not
Bio-protocol-62,PMC5973576,low_conf,Plant Science & Technology,data/gold/pmc_jats/PMC5973576.xml,y,y,y,
Bio-protocol-115,PMC9019647,low_conf,Microbiology & Virology,data/gold/pmc_jats/PMC9019647.xml,y,y,y,
Bio-protocol-118,PMC8949215,low_conf,Plant Science & Technology,data/gold/pmc_jats/PMC8949215.xml,y,y,y,
Bio-protocol-133,PMC10413806,low_conf,Genomics Technologies,data/gold/pmc_jats/PMC10413806.xml,y,y,y,
Bio-protocol-136,PMC10562482,low_conf,Cell Biology & Culture,data/gold/pmc_jats/PMC10562482.xml,y,y,y,
Bio-protocol-135,PMC10753488,low_conf,Microbiology & Virology,data/gold/pmc_jats/PMC10753488.xml,y,y,y,
Bio-protocol-138,PMC6677753,low_conf,Model Organism-Specific Techniques,data/gold/pmc_jats/PMC6677753.xml,y,y,y,
Bio-protocol-184,PMC10589335,low_conf,Cell Biology & Culture,data/gold/pmc_jats/PMC10589335.xml,y,y,y,
Bio-protocol-202,PMC10451090,low_conf,Cell Biology & Culture,data/gold/pmc_jats/PMC10451090.xml,y,y,y,
Bio-protocol-213,PMC9550178,low_conf,Cell Biology & Culture,data/gold/pmc_jats/PMC9550178.xml,y,y,y,
Bio-protocol-221,PMC9960897,low_conf,Cell Biology & Culture,data/gold/pmc_jats/PMC9960897.xml,y,y,y,
Bio-protocol-232,PMC3175965,low_conf,Cell Biology & Culture,data/gold/pmc_jats/PMC3175965.xml,y,n,n,no_body
Bio-protocol-238,PMC10133230,low_conf,Bioinformatics Methods,data/gold/pmc_jats/PMC10133230.xml,y,y,y,
Bio-protocol-237,PMC10184827,low_conf,Biochemical & Molecular Functional Analysis,data/gold/pmc_jats/PMC10184827.xml,y,y,y,
Bio-protocol-249,PMC7595160,low_conf,Cell Biology & Culture,data/gold/pmc_jats/PMC7595160.xml,y,y,y,
Bio-protocol-251,PMC9933046,low_conf,Biochemical & Molecular Functional Analysis,data/gold/pmc_jats/PMC9933046.xml,y,y,n,no_methods
Bio-protocol-256,PMC10442639,low_conf,Neuroscience Methods,data/gold/pmc_jats/PMC10442639.xml,y,y,y,
Bio-protocol-264,PMC8318371,low_conf,Bioimaging Technologies,data/gold/pmc_jats/PMC8318371.xml,y,y,y,
Bio-protocol-270,PMC10141581,low_conf,Molecular Biology Techniques,data/gold/pmc_jats/PMC10141581.xml,y,y,y,
Bio-protocol-273,PMC8505866,low_conf,Plant Science & Technology,data/gold/pmc_jats/PMC8505866.xml,y,n,n,no_body
Bio-protocol-280,PMC9014073,low_conf,Cell Biology & Culture,data/gold/pmc_jats/PMC9014073.xml,y,y,y,
Bio-protocol-284,PMC9826302,low_conf,Bioinformatics Methods,data/gold/pmc_jats/PMC9826302.xml,y,y,y,
Bio-protocol-289,PMC8697472,low_conf,Bioimaging Technologies,data/gold/pmc_jats/PMC8697472.xml,y,y,y,
Bio-protocol-291,PMC6041199,low_conf,Cell Biology & Culture,data/gold/pmc_jats/PMC6041199.xml,y,n,n,no_body
Bio-protocol-297,PMC8855868,low_conf,Bioimaging Technologies,data/gold/pmc_jats/PMC8855868.xml,y,y,y,
